#,pm1,pm2.5,pm10,Temperature,Humidity,Co,Co2,DateTme 
1,19,28,30,22.9,40.3,0,0,2021-10-31 13:00:31
2,21,31,35,22.9,41.2,0,0,2021-10-31 12:00:18
3,21,31,35,22.8,40.7,0,0,2021-10-31 11:00:07
4,23,35,41,22.6,40.7,0,0,2021-10-31 10:00:26
5,23,34,40,22,40.8,0,0,2021-10-31 09:00:15
6,23,34,40,21.4,41.9,0,0,2021-10-31 08:00:04
7,22,32,36,21,42.1,0,0,2021-10-31 07:00:25
8,21,30,33,21,42.2,0,0,2021-10-31 06:00:15
9,21,30,33,21.1,42.1,0,0,2021-10-31 05:00:05
10,20,28,31,21.3,41.8,0,0,2021-10-31 04:00:09
11,19,27,29,21.5,41.2,0,0,2021-10-31 03:00:30
12,17,22,23,21.6,40.1,0,0,2021-10-31 02:00:21
13,16,21,23,21.7,39.7,0,0,2021-10-31 01:00:15
14,16,21,23,21.9,39.2,0,0,2021-10-31 00:00:27
15,15,20,22,22,38.8,0,0,2021-10-30 23:00:19
16,16,21,23,22.1,38.4,0,0,2021-10-30 22:00:08
17,15,20,21,22.1,37.8,0,0,2021-10-30 21:00:30
18,14,18,19,22.2,37.4,0,0,2021-10-30 20:00:20
19,11,14,15,22.3,36.6,0,0,2021-10-30 19:00:10
20,10,13,14,22.3,36.2,0,0,2021-10-30 18:00:30
21,8,11,12,22.4,35.6,0,0,2021-10-30 17:00:20
22,7,9,10,22.6,34.7,0,0,2021-10-30 16:00:09
23,7,9,9,22.6,35.1,0,0,2021-10-30 15:00:33
24,7,8,9,22.4,35.2,0,0,2021-10-30 14:00:22
25,6,8,8,22.4,34.9,0,0,2021-10-30 13:00:12
26,6,7,7,22.5,34.7,0,0,2021-10-30 12:00:33
27,5,6,6,22.4,34.6,0,0,2021-10-30 11:00:24
28,4,6,6,22,34.6,0,0,2021-10-30 10:00:12
29,4,6,6,21.8,34.7,0,0,2021-10-30 09:00:32
30,5,6,6,21.7,35.1,0,0,2021-10-30 08:00:23
31,5,6,7,21.7,35,0,0,2021-10-30 07:00:12
32,5,6,7,21.8,35.2,0,0,2021-10-30 06:00:03
33,5,7,7,21.9,35.2,0,0,2021-10-30 05:00:24
34,6,7,8,21.9,35.2,0,0,2021-10-30 04:00:13
35,6,8,9,22,35,0,0,2021-10-30 03:00:03
36,6,8,9,22.2,34.8,0,0,2021-10-30 02:00:25
37,7,8,9,22.4,34.8,0,0,2021-10-30 01:00:11
38,7,9,10,22.5,35,0,0,2021-10-30 00:00:26
39,9,11,12,22.7,35.5,0,0,2021-10-29 23:00:14
40,9,11,13,22.8,35.5,0,0,2021-10-29 22:00:19
41,10,12,13,22.9,35.6,0,0,2021-10-29 21:00:28
42,8,11,12,23,35.2,0,0,2021-10-29 20:00:13
43,7,9,11,23.1,34.7,0,0,2021-10-29 19:00:27
44,7,9,10,23.1,34.3,0,0,2021-10-29 18:00:09
45,7,9,10,23.1,33.5,0,0,2021-10-29 17:00:17
46,7,9,10,23.2,31.8,0,0,2021-10-29 16:00:33
47,6,8,9,23.9,29.6,0,0,2021-10-29 15:00:12
48,6,7,8,25,29.2,0,0,2021-10-29 14:40:11
49,10,14,15,27.8,54.3,0,0,2021-09-30 11:00:22
50,11,16,17,26,58.3,0,0,2021-09-30 10:00:19
51,9,14,14,25.2,57.7,0,0,2021-09-30 09:00:13
52,8,12,13,25.3,56.7,0,0,2021-09-30 08:00:09
53,6,8,9,26.5,54.5,0,0,2021-09-30 07:00:04
54,5,6,6,26.6,55,0,0,2021-09-30 06:00:21
55,5,6,6,26.7,55.4,0,0,2021-09-30 05:00:33
56,5,6,7,26.8,55.6,0,0,2021-09-30 04:00:05
57,5,6,7,26.8,55.8,0,0,2021-09-30 03:00:13
58,6,7,8,26.9,56.1,0,0,2021-09-30 02:00:20
59,6,7,8,26.9,56.4,0,0,2021-09-30 01:00:02
60,6,8,9,27,56.7,0,0,2021-09-30 00:00:13
61,7,8,9,27,56.9,0,0,2021-09-29 23:00:22
62,6,8,9,27,56.8,0,0,2021-09-29 22:00:01
63,6,7,8,27.1,56.9,0,0,2021-09-29 21:00:21
64,6,7,8,27,57.1,0,0,2021-09-29 20:00:27
65,5,6,7,27,57.4,0,0,2021-09-29 19:00:07
66,4,5,6,27,58.3,0,0,2021-09-29 18:00:15
67,2,3,3,26.6,59.4,0,0,2021-09-29 17:00:04
68,2,3,3,27.2,58.3,0,0,2021-09-29 16:00:26
69,4,4,5,28.1,54.5,0,0,2021-09-29 15:00:14
70,6,7,8,27.9,58.5,0,0,2021-09-29 14:00:22
71,2,2,3,27.6,59.2,0,0,2021-09-29 13:00:12
72,2,3,4,28.5,56.7,0,0,2021-09-29 12:00:06
73,0,0,0,29.1,56.1,0,0,2021-09-29 11:00:32
74,1,2,2,28.5,58.8,0,0,2021-09-29 10:00:20
75,8,11,12,28.1,62,0,0,2021-09-29 09:00:20
76,14,21,22,27.6,62.6,0,0,2021-09-29 08:00:14
77,13,18,19,27.5,57.7,0,0,2021-09-29 07:00:07
78,10,13,14,27.5,55.4,0,0,2021-09-29 06:00:23
79,9,11,12,27.5,55.1,0,0,2021-09-29 05:00:06
80,8,10,11,27.5,54.5,0,0,2021-09-29 04:00:14
81,8,9,10,27.6,54.1,0,0,2021-09-29 03:00:06
82,7,8,9,27.6,53.9,0,0,2021-09-29 02:00:15
83,6,7,8,27.6,53.5,0,0,2021-09-29 01:00:24
84,6,7,7,27.7,53,0,0,2021-09-29 00:00:31
85,5,6,6,27.7,52.4,0,0,2021-09-28 23:00:10
86,4,5,5,27.8,51.2,0,0,2021-09-28 22:00:21
87,3,4,4,27.9,50,0,0,2021-09-28 21:00:33
88,3,4,4,27.9,49.1,0,0,2021-09-28 20:00:14
89,3,3,4,28,48.2,0,0,2021-09-28 19:00:25
90,2,3,3,28.1,46.6,0,0,2021-09-28 18:00:04
91,3,4,4,28.3,45,0,0,2021-09-28 17:00:15
92,3,4,5,28.6,44.3,0,0,2021-09-28 16:00:07
93,4,6,7,28.7,44.5,0,0,2021-09-28 15:00:25
94,4,5,6,28.2,44.2,0,0,2021-09-28 14:00:20
95,3,4,5,27.8,44.4,0,0,2021-09-28 13:17:33
96,5,6,6,26,54.5,0,0,2021-09-28 09:16:09
97,7,9,9,27.5,41,0,0,2021-09-23 13:00:29
98,6,7,8,27.4,40.2,0,0,2021-09-23 12:00:26
99,6,8,8,27.4,40.7,0,0,2021-09-23 11:00:32
100,5,6,7,27.4,40.7,0,0,2021-09-23 10:00:30
101,3,4,5,27.2,40.6,0,0,2021-09-23 09:00:25
102,4,4,5,26.9,41.6,0,0,2021-09-23 08:00:25
103,6,7,8,26.8,45.9,0,0,2021-09-23 07:00:24
104,8,9,10,26.7,49.1,0,0,2021-09-23 06:00:10
105,8,10,11,26.7,49.8,0,0,2021-09-23 05:00:21
106,8,10,10,26.6,48.5,0,0,2021-09-23 04:00:33
107,7,9,10,26.8,47,0,0,2021-09-23 03:00:14
108,6,8,8,26.8,46.8,0,0,2021-09-23 02:00:25
109,6,8,9,26.8,46.6,0,0,2021-09-23 01:00:06
