#,pm1,pm2.5,pm10,Temperature,Humidity,Co,Co2,DateTme 
1,24,36,43,21.2,47.9,0,0,2021-10-19 10:00:16
2,23,35,40,21.1,46.2,0,0,2021-10-19 09:00:29
3,19,26,28,20.8,44.4,0,0,2021-10-19 08:00:09
4,19,26,27,20.7,44.6,0,0,2021-10-19 07:00:24
5,18,24,26,20.8,44.4,0,0,2021-10-19 06:00:33
6,17,23,24,20.8,44.2,0,0,2021-10-19 05:00:06
7,17,22,24,20.8,44.1,0,0,2021-10-19 04:00:21
8,17,23,24,20.9,43.5,0,0,2021-10-19 03:00:26
9,18,25,27,21,43.2,0,0,2021-10-19 02:00:06
10,19,25,27,21,42.8,0,0,2021-10-19 01:00:20
11,18,24,26,21.1,41.8,0,0,2021-10-19 00:00:04
12,17,22,24,21.2,41.1,0,0,2021-10-18 23:00:15
13,14,19,20,21.3,40.1,0,0,2021-10-18 22:00:21
14,13,17,19,21.4,38.6,0,0,2021-10-18 21:00:26
15,10,13,14,21.6,35.5,0,0,2021-10-18 20:00:05
16,8,9,10,21.7,33.7,0,0,2021-10-18 19:00:21
17,6,8,9,21.9,32.9,0,0,2021-10-18 18:00:33
18,6,7,8,22.2,31.8,0,0,2021-10-18 17:00:11
19,6,6,7,22.7,30.3,0,0,2021-10-18 16:00:22
20,5,6,7,23.5,28,0,0,2021-10-18 15:00:04
21,5,6,7,24,27,0,0,2021-10-18 14:00:16
22,6,7,8,23.4,27.2,0,0,2021-10-18 13:00:26
23,8,10,12,21.9,26.9,0,0,2021-10-18 12:00:06
24,7,8,10,21.4,25.7,0,0,2021-10-18 11:00:20
25,6,7,8,20.8,25.2,0,0,2021-10-18 10:00:33
26,5,6,7,20.1,25.3,0,0,2021-10-18 09:00:21
27,4,6,7,19.8,24.9,0,0,2021-10-18 08:00:10
28,5,6,7,19.6,25,0,0,2021-10-18 07:00:25
29,4,6,7,19.7,25,0,0,2021-10-18 06:00:12
30,5,6,7,19.7,24.4,0,0,2021-10-18 05:00:22
31,4,5,7,19.8,23.9,0,0,2021-10-18 04:00:13
32,5,6,7,19.9,23.6,0,0,2021-10-18 03:00:26
33,4,5,7,20,23.1,0,0,2021-10-18 02:00:11
34,4,5,6,20.1,22.6,0,0,2021-10-18 01:00:25
35,4,5,6,20.3,21.9,0,0,2021-10-18 00:00:13
36,4,5,7,20.4,21.5,0,0,2021-10-17 23:00:33
37,4,5,6,20.6,20.4,0,0,2021-10-17 22:00:21
38,3,4,5,20.7,19.6,0,0,2021-10-17 21:00:03
39,3,4,5,20.9,19.5,0,0,2021-10-17 20:00:26
40,4,4,5,21.2,20,0,0,2021-10-17 19:00:10
41,3,4,5,21.5,19.9,0,0,2021-10-17 18:00:24
42,3,4,4,21.9,19.4,0,0,2021-10-17 17:00:08
43,3,4,5,22.4,19.8,0,0,2021-10-17 16:00:24
44,3,4,5,23.3,19,0,0,2021-10-17 15:00:07
45,4,4,5,24.1,16.8,0,0,2021-10-17 14:00:24
46,4,4,5,23.4,18.5,0,0,2021-10-17 13:00:33
47,4,4,5,21.9,21,0,0,2021-10-17 12:00:15
48,4,4,5,21.7,21.5,0,0,2021-10-17 11:00:28
49,4,4,5,21.3,22.3,0,0,2021-10-17 10:00:05
50,3,4,4,20.5,23,0,0,2021-10-17 09:00:24
51,4,4,5,19.8,21.7,0,0,2021-10-17 08:00:15
52,4,5,5,19.6,21.3,0,0,2021-10-17 07:00:33
53,4,5,6,19.6,22.1,0,0,2021-10-17 06:00:13
54,4,5,6,19.8,22,0,0,2021-10-17 05:00:04
55,4,5,6,19.9,21.7,0,0,2021-10-17 04:00:20
56,4,5,6,20,21.8,0,0,2021-10-17 03:00:05
57,4,5,6,20.2,21.8,0,0,2021-10-17 02:00:24
58,4,5,6,20.4,22.5,0,0,2021-10-17 01:00:15
59,4,5,6,20.6,22.5,0,0,2021-10-17 00:00:33
60,3,4,5,20.8,23.2,0,0,2021-10-16 23:00:18
61,3,4,5,20.9,23.3,0,0,2021-10-16 22:00:03
62,3,3,4,21.1,23.3,0,0,2021-10-16 21:00:16
63,3,3,4,21.3,23.1,0,0,2021-10-16 20:00:04
64,2,3,3,21.6,23.1,0,0,2021-10-16 19:00:22
65,2,3,3,21.9,22.8,0,0,2021-10-16 18:00:07
66,2,3,4,22.3,23.8,0,0,2021-10-16 17:00:13
67,3,3,4,22.6,25,0,0,2021-10-16 16:00:16
68,2,3,3,22.8,25.3,0,0,2021-10-16 15:00:25
69,2,3,4,22.9,26.2,0,0,2021-10-16 14:00:32
70,2,3,4,22.7,27.7,0,0,2021-10-16 13:00:02
71,3,4,5,21.8,27.4,0,0,2021-10-16 12:00:05
72,5,6,7,21.3,27.8,0,0,2021-10-16 11:00:11
73,8,11,12,21.4,32.8,0,0,2021-10-16 10:00:21
74,13,16,18,21.7,36.6,0,0,2021-10-16 09:00:27
75,13,17,19,22.6,37.9,0,0,2021-10-16 08:00:08
76,13,17,19,23.1,36.4,0,0,2021-10-16 07:00:20
77,11,15,17,23.5,36.5,0,0,2021-10-16 06:00:02
78,10,13,14,23.7,36.4,0,0,2021-10-16 05:00:14
79,10,12,14,23.8,36.1,0,0,2021-10-16 04:00:26
80,10,12,14,24,36.8,0,0,2021-10-16 03:00:02
81,10,13,14,24.3,39.9,0,0,2021-10-16 02:00:12
82,13,16,19,24.6,43.3,0,0,2021-10-16 01:00:26
83,14,19,21,24.8,45.2,0,0,2021-10-16 00:00:32
84,14,18,20,24.9,48.1,0,0,2021-10-15 23:00:16
85,12,15,16,24.9,52.9,0,0,2021-10-15 22:00:30
86,16,20,22,24.9,54.1,0,0,2021-10-15 21:00:11
87,18,23,25,24.9,54.1,0,0,2021-10-15 20:00:22
88,17,21,22,24.7,54.5,0,0,2021-10-15 19:00:27
89,15,20,21,24.4,54.8,0,0,2021-10-15 18:00:11
90,14,17,18,24.3,54.6,0,0,2021-10-15 17:00:22
91,16,20,21,25.2,53.9,0,0,2021-10-15 16:00:02
92,17,22,24,26.4,50.3,0,0,2021-10-15 15:00:17
93,18,23,24,26.5,50.5,0,0,2021-10-15 14:00:29
94,18,23,24,26,52,0,0,2021-10-15 13:00:12
95,20,27,29,25.6,53.3,0,0,2021-10-15 12:00:29
96,19,26,28,25.4,53.8,0,0,2021-10-15 11:00:18
97,19,25,27,25.2,53.5,0,0,2021-10-15 10:00:28
98,19,26,28,25.2,53.2,0,0,2021-10-15 09:00:10
99,17,22,23,24.9,53.1,0,0,2021-10-15 08:00:28
100,17,22,23,24.9,53.2,0,0,2021-10-15 07:00:29
101,17,22,23,24.9,53,0,0,2021-10-15 06:00:07
102,16,20,22,25,53.1,0,0,2021-10-15 05:00:15
103,15,18,19,25.1,53.2,0,0,2021-10-15 04:00:28
104,13,16,18,25.1,53.1,0,0,2021-10-15 03:00:10
105,12,14,15,25.1,52.9,0,0,2021-10-15 02:00:24
106,11,13,14,25.2,52.6,0,0,2021-10-15 01:00:04
107,10,12,13,25.2,52.2,0,0,2021-10-15 00:00:14
108,10,12,13,25.3,51.6,0,0,2021-10-14 23:00:27
109,10,12,13,25.4,51,0,0,2021-10-14 22:00:04
110,10,13,14,25.5,50.4,0,0,2021-10-14 21:00:15
111,10,12,13,25.7,50,0,0,2021-10-14 20:00:24
112,10,12,13,26.1,49.1,0,0,2021-10-14 19:00:03
113,10,12,13,26.6,47.9,0,0,2021-10-14 18:00:15
114,11,13,14,27.2,47.4,0,0,2021-10-14 17:00:32
115,11,14,14,27.7,47.1,0,0,2021-10-14 16:00:13
116,12,14,15,28.2,46.6,0,0,2021-10-14 15:00:24
117,13,15,16,28.5,46.5,0,0,2021-10-14 14:00:05
118,14,17,18,27.7,48.4,0,0,2021-10-14 13:00:21
119,14,17,18,26.8,50.6,0,0,2021-10-14 12:00:04
120,11,13,14,26.3,52.3,0,0,2021-10-14 11:00:05
121,9,10,11,25.6,53.9,0,0,2021-10-14 10:00:18
122,7,8,9,25,54.5,0,0,2021-10-14 09:00:25
123,5,6,7,24.7,54.3,0,0,2021-10-14 08:00:02
124,5,6,6,24.5,54.5,0,0,2021-10-14 07:00:15
125,5,6,6,24.5,54.4,0,0,2021-10-14 06:00:29
126,5,6,6,24.6,54.2,0,0,2021-10-14 05:00:07
127,5,5,6,24.6,54.2,0,0,2021-10-14 04:00:17
128,5,5,6,24.7,53.9,0,0,2021-10-14 03:00:19
129,4,5,5,24.8,53.5,0,0,2021-10-14 02:00:26
130,4,5,5,24.9,53.1,0,0,2021-10-14 01:00:05
131,4,4,4,25,52.7,0,0,2021-10-14 00:00:11
132,3,4,4,25.2,52.2,0,0,2021-10-13 23:00:15
133,3,3,4,25.3,51.6,0,0,2021-10-13 22:00:24
134,3,3,4,25.4,51.1,0,0,2021-10-13 21:00:11
135,3,4,4,25.6,50.6,0,0,2021-10-13 20:00:19
136,3,4,4,25.8,49.8,0,0,2021-10-13 19:00:30
137,3,3,3,26.2,48.2,0,0,2021-10-13 18:00:28
138,3,3,3,26.8,46.5,0,0,2021-10-13 17:00:06
139,3,3,3,27.3,45.2,0,0,2021-10-13 16:00:08
