#,pm1,pm2.5,pm10,Temperature,Humidity,Co,Co2,DateTme 
1,20,28,30,23.1,43.2,0,0,2021-10-31 13:00:27
2,20,28,30,22.8,43.9,0,0,2021-10-31 12:00:09
3,20,28,31,21.8,46,0,0,2021-10-31 11:00:26
4,21,31,35,21,47.6,0,0,2021-10-31 10:00:07
5,24,37,44,20.3,49.3,0,0,2021-10-31 09:00:27
6,23,34,41,19.9,49.5,0,0,2021-10-31 08:00:04
7,23,34,40,19.8,49.6,0,0,2021-10-31 07:00:19
8,22,31,36,19.9,49.1,0,0,2021-10-31 06:00:09
9,21,30,34,20.1,48.9,0,0,2021-10-31 05:00:10
10,20,29,32,20.1,48.7,0,0,2021-10-31 04:00:24
11,20,29,31,20.2,48.6,0,0,2021-10-31 03:00:03
12,20,28,31,20.4,48.4,0,0,2021-10-31 02:00:19
13,19,27,29,20.5,47.8,0,0,2021-10-31 01:00:32
14,19,25,28,20.7,47.2,0,0,2021-10-31 00:00:06
15,18,25,27,20.9,46.7,0,0,2021-10-30 23:00:19
16,17,23,25,21.2,46,0,0,2021-10-30 22:00:24
17,16,22,24,21.3,45.2,0,0,2021-10-30 21:00:15
18,16,21,23,21.5,44.5,0,0,2021-10-30 20:00:30
19,13,16,18,21.7,43.6,0,0,2021-10-30 19:00:12
20,10,12,13,21.9,42.7,0,0,2021-10-30 18:00:24
21,8,10,11,22.2,42.1,0,0,2021-10-30 17:00:25
22,7,8,9,22.3,41.9,0,0,2021-10-30 16:00:07
23,5,6,7,22.4,41.9,0,0,2021-10-30 15:00:18
24,4,5,6,22.4,41.8,0,0,2021-10-30 14:00:32
25,3,4,5,22.3,41.3,0,0,2021-10-30 13:00:11
26,2,2,2,22.6,40.6,0,0,2021-10-30 12:00:09
27,1,1,1,22.7,40.4,0,0,2021-10-30 11:00:22
28,2,2,3,21.9,40.9,0,0,2021-10-30 10:00:05
29,3,3,4,21.6,41.1,0,0,2021-10-30 09:00:16
30,3,4,5,21.6,40.9,0,0,2021-10-30 08:00:24
31,3,4,4,22.3,39.9,0,0,2021-10-30 07:59:53
32,9,13,15,26.6,60.5,0,0,2021-09-13 10:00:11
33,10,14,15,26.5,60.5,0,0,2021-09-13 09:00:24
34,10,15,16,26.5,61.1,0,0,2021-09-13 08:00:29
35,11,16,17,26.6,60.4,0,0,2021-09-13 07:00:23
36,11,15,16,26.8,59.5,0,0,2021-09-13 06:00:03
37,10,14,15,26.9,59.3,0,0,2021-09-13 05:00:16
38,10,14,15,27,58.8,0,0,2021-09-13 04:00:30
39,10,14,15,27.1,58.5,0,0,2021-09-13 03:00:12
40,10,14,15,27.3,58.1,0,0,2021-09-13 02:00:23
41,10,14,15,27.4,57.8,0,0,2021-09-13 01:00:29
42,10,13,15,27.6,57.8,0,0,2021-09-13 00:00:11
43,9,13,14,27.7,57.3,0,0,2021-09-12 23:00:23
44,8,10,11,27.8,56.8,0,0,2021-09-12 22:00:30
45,8,10,10,28,56.3,0,0,2021-09-12 21:00:14
46,7,10,10,28.1,55.8,0,0,2021-09-12 20:00:25
47,7,9,10,28.3,55.2,0,0,2021-09-12 19:00:30
48,8,10,10,28.3,54.8,0,0,2021-09-12 18:00:03
49,8,10,11,28.4,54.5,0,0,2021-09-12 17:00:16
50,9,11,12,28.4,54.9,0,0,2021-09-12 16:00:18
51,9,12,13,28.4,55,0,0,2021-09-12 15:00:25
52,9,12,13,28.5,54.5,0,0,2021-09-12 14:00:27
53,8,11,12,29.8,50.9,0,0,2021-09-12 13:00:10
54,7,9,10,29.3,51.9,0,0,2021-09-12 12:00:18
55,8,10,11,27.2,57.6,0,0,2021-09-12 11:00:27
56,13,18,19,27,59.1,0,0,2021-09-12 10:00:16
57,15,20,21,26.8,59.7,0,0,2021-09-12 09:00:03
58,15,22,23,26.5,60,0,0,2021-09-12 08:00:18
59,17,24,26,26.4,60.3,0,0,2021-09-12 07:00:06
60,18,26,28,26.5,60.6,0,0,2021-09-12 06:00:21
61,17,25,27,26.6,60.6,0,0,2021-09-12 05:00:08
62,17,24,25,26.7,60.6,0,0,2021-09-12 04:00:18
63,18,26,27,26.8,60.1,0,0,2021-09-12 03:00:07
64,18,26,27,26.9,59.8,0,0,2021-09-12 02:00:22
65,17,24,25,27.1,59.3,0,0,2021-09-12 01:00:07
66,16,21,23,27.2,58.6,0,0,2021-09-12 00:00:22
67,14,18,19,27.4,58.7,0,0,2021-09-11 23:00:02
68,13,17,17,27.5,58.3,0,0,2021-09-11 22:00:23
69,13,17,18,27.7,58.6,0,0,2021-09-11 21:00:07
70,14,18,19,27.8,57.9,0,0,2021-09-11 20:00:12
71,15,20,21,27.9,57.9,0,0,2021-09-11 19:00:20
72,17,23,24,28,57.2,0,0,2021-09-11 18:00:08
73,19,26,27,28,57.4,0,0,2021-09-11 17:00:23
74,19,26,27,27.9,57.6,0,0,2021-09-11 16:00:04
75,19,27,28,28.1,57.5,0,0,2021-09-11 15:00:18
76,18,26,27,28.2,56.7,0,0,2021-09-11 14:00:07
77,18,26,27,29.3,55.1,0,0,2021-09-11 13:00:28
78,18,26,28,28.7,56.6,0,0,2021-09-11 12:00:08
79,19,28,30,27.1,61.1,0,0,2021-09-11 11:00:15
80,18,26,28,26.7,62.3,0,0,2021-09-11 10:00:05
81,17,24,26,26.5,62.9,0,0,2021-09-11 09:00:19
82,18,26,28,26.4,63.6,0,0,2021-09-11 08:00:19
83,17,25,27,26.2,63.8,0,0,2021-09-11 07:00:20
84,17,24,25,26.2,64.2,0,0,2021-09-11 06:00:05
85,17,24,25,26.3,63.5,0,0,2021-09-11 05:00:11
86,18,25,26,26.4,63.8,0,0,2021-09-11 04:00:25
87,17,23,24,26.5,63.2,0,0,2021-09-11 03:00:09
88,16,21,22,26.6,62.5,0,0,2021-09-11 02:00:20
89,15,20,21,26.7,62.4,0,0,2021-09-11 01:00:06
90,15,19,20,26.9,61.3,0,0,2021-09-11 00:00:19
91,13,17,18,27,61,0,0,2021-09-10 23:00:30
92,11,14,14,27,59.5,0,0,2021-09-10 22:00:08
93,11,13,14,27.1,59.8,0,0,2021-09-10 21:00:09
94,11,13,13,27.2,58.8,0,0,2021-09-10 20:00:12
95,11,13,14,27.3,59.2,0,0,2021-09-10 19:00:16
96,11,13,14,27.3,58.5,0,0,2021-09-10 18:00:13
97,14,18,18,27.5,57.5,0,0,2021-09-10 17:00:25
98,18,23,24,27.6,56.3,0,0,2021-09-10 16:00:26
99,17,22,23,27.4,56.7,0,0,2021-09-10 15:00:08
100,19,24,26,27.3,57.6,0,0,2021-09-10 14:00:09
101,14,18,19,27.2,60.2,0,0,2021-09-10 13:00:32
102,13,17,19,27.1,61.8,0,0,2021-09-10 12:00:16
103,14,20,21,26.8,62.7,0,0,2021-09-10 11:00:21
