#,pm1,pm2.5,pm10,Temperature,Humidity,Co,Co2,DateTme 
1,16,22,24,21.3,45.2,0,0,2021-10-30 21:00:15
2,16,21,23,21.5,44.5,0,0,2021-10-30 20:00:30
3,13,16,18,21.7,43.6,0,0,2021-10-30 19:00:12
4,10,12,13,21.9,42.7,0,0,2021-10-30 18:00:24
5,8,10,11,22.2,42.1,0,0,2021-10-30 17:00:25
6,7,8,9,22.3,41.9,0,0,2021-10-30 16:00:07
7,5,6,7,22.4,41.9,0,0,2021-10-30 15:00:18
8,4,5,6,22.4,41.8,0,0,2021-10-30 14:00:32
9,3,4,5,22.3,41.3,0,0,2021-10-30 13:00:11
10,2,2,2,22.6,40.6,0,0,2021-10-30 12:00:09
11,1,1,1,22.7,40.4,0,0,2021-10-30 11:00:22
12,2,2,3,21.9,40.9,0,0,2021-10-30 10:00:05
13,3,3,4,21.6,41.1,0,0,2021-10-30 09:00:16
14,3,4,5,21.6,40.9,0,0,2021-10-30 08:00:24
15,3,4,4,22.3,39.9,0,0,2021-10-30 07:59:53
16,9,13,15,26.6,60.5,0,0,2021-09-13 10:00:11
17,10,14,15,26.5,60.5,0,0,2021-09-13 09:00:24
18,10,15,16,26.5,61.1,0,0,2021-09-13 08:00:29
19,11,16,17,26.6,60.4,0,0,2021-09-13 07:00:23
20,11,15,16,26.8,59.5,0,0,2021-09-13 06:00:03
21,10,14,15,26.9,59.3,0,0,2021-09-13 05:00:16
22,10,14,15,27,58.8,0,0,2021-09-13 04:00:30
23,10,14,15,27.1,58.5,0,0,2021-09-13 03:00:12
24,10,14,15,27.3,58.1,0,0,2021-09-13 02:00:23
25,10,14,15,27.4,57.8,0,0,2021-09-13 01:00:29
26,10,13,15,27.6,57.8,0,0,2021-09-13 00:00:11
27,9,13,14,27.7,57.3,0,0,2021-09-12 23:00:23
28,8,10,11,27.8,56.8,0,0,2021-09-12 22:00:30
29,8,10,10,28,56.3,0,0,2021-09-12 21:00:14
30,7,10,10,28.1,55.8,0,0,2021-09-12 20:00:25
31,7,9,10,28.3,55.2,0,0,2021-09-12 19:00:30
32,8,10,10,28.3,54.8,0,0,2021-09-12 18:00:03
33,8,10,11,28.4,54.5,0,0,2021-09-12 17:00:16
34,9,11,12,28.4,54.9,0,0,2021-09-12 16:00:18
35,9,12,13,28.4,55,0,0,2021-09-12 15:00:25
36,9,12,13,28.5,54.5,0,0,2021-09-12 14:00:27
37,8,11,12,29.8,50.9,0,0,2021-09-12 13:00:10
38,7,9,10,29.3,51.9,0,0,2021-09-12 12:00:18
39,8,10,11,27.2,57.6,0,0,2021-09-12 11:00:27
40,13,18,19,27,59.1,0,0,2021-09-12 10:00:16
41,15,20,21,26.8,59.7,0,0,2021-09-12 09:00:03
42,15,22,23,26.5,60,0,0,2021-09-12 08:00:18
43,17,24,26,26.4,60.3,0,0,2021-09-12 07:00:06
44,18,26,28,26.5,60.6,0,0,2021-09-12 06:00:21
45,17,25,27,26.6,60.6,0,0,2021-09-12 05:00:08
46,17,24,25,26.7,60.6,0,0,2021-09-12 04:00:18
47,18,26,27,26.8,60.1,0,0,2021-09-12 03:00:07
48,18,26,27,26.9,59.8,0,0,2021-09-12 02:00:22
49,17,24,25,27.1,59.3,0,0,2021-09-12 01:00:07
50,16,21,23,27.2,58.6,0,0,2021-09-12 00:00:22
51,14,18,19,27.4,58.7,0,0,2021-09-11 23:00:02
52,13,17,17,27.5,58.3,0,0,2021-09-11 22:00:23
53,13,17,18,27.7,58.6,0,0,2021-09-11 21:00:07
54,14,18,19,27.8,57.9,0,0,2021-09-11 20:00:12
55,15,20,21,27.9,57.9,0,0,2021-09-11 19:00:20
56,17,23,24,28,57.2,0,0,2021-09-11 18:00:08
57,19,26,27,28,57.4,0,0,2021-09-11 17:00:23
58,19,26,27,27.9,57.6,0,0,2021-09-11 16:00:04
59,19,27,28,28.1,57.5,0,0,2021-09-11 15:00:18
60,18,26,27,28.2,56.7,0,0,2021-09-11 14:00:07
61,18,26,27,29.3,55.1,0,0,2021-09-11 13:00:28
62,18,26,28,28.7,56.6,0,0,2021-09-11 12:00:08
63,19,28,30,27.1,61.1,0,0,2021-09-11 11:00:15
64,18,26,28,26.7,62.3,0,0,2021-09-11 10:00:05
65,17,24,26,26.5,62.9,0,0,2021-09-11 09:00:19
66,18,26,28,26.4,63.6,0,0,2021-09-11 08:00:19
67,17,25,27,26.2,63.8,0,0,2021-09-11 07:00:20
68,17,24,25,26.2,64.2,0,0,2021-09-11 06:00:05
69,17,24,25,26.3,63.5,0,0,2021-09-11 05:00:11
70,18,25,26,26.4,63.8,0,0,2021-09-11 04:00:25
71,17,23,24,26.5,63.2,0,0,2021-09-11 03:00:09
72,16,21,22,26.6,62.5,0,0,2021-09-11 02:00:20
73,15,20,21,26.7,62.4,0,0,2021-09-11 01:00:06
74,15,19,20,26.9,61.3,0,0,2021-09-11 00:00:19
75,13,17,18,27,61,0,0,2021-09-10 23:00:30
76,11,14,14,27,59.5,0,0,2021-09-10 22:00:08
77,11,13,14,27.1,59.8,0,0,2021-09-10 21:00:09
78,11,13,13,27.2,58.8,0,0,2021-09-10 20:00:12
79,11,13,14,27.3,59.2,0,0,2021-09-10 19:00:16
80,11,13,14,27.3,58.5,0,0,2021-09-10 18:00:13
81,14,18,18,27.5,57.5,0,0,2021-09-10 17:00:25
82,18,23,24,27.6,56.3,0,0,2021-09-10 16:00:26
83,17,22,23,27.4,56.7,0,0,2021-09-10 15:00:08
84,19,24,26,27.3,57.6,0,0,2021-09-10 14:00:09
85,14,18,19,27.2,60.2,0,0,2021-09-10 13:00:32
86,13,17,19,27.1,61.8,0,0,2021-09-10 12:00:16
87,14,20,21,26.8,62.7,0,0,2021-09-10 11:00:21
88,21,32,38,26.5,64.1,0,0,2021-09-10 10:00:24
89,27,43,53,26.1,65,0,0,2021-09-10 09:00:15
90,28,44,55,26,65.2,0,0,2021-09-10 08:00:02
91,28,44,56,26,65.8,0,0,2021-09-10 07:00:06
92,24,36,44,26.1,64.9,0,0,2021-09-10 06:00:15
93,24,37,45,26.2,64.7,0,0,2021-09-10 05:00:29
